Gender,Age [10-15],Age [16-20],Age [21-25],Age [26-30],Age [31-35],Level,access_to_material_in my academy,family_financial_status_allows_me_to_focus,parent_guardian_support_education_learning,feel_supported_accepted_coursemate_friends,atleast_one_close_friend,positive_supportive_relation_with_lecturers,rarely_have_conflict_with_classmate_lecturer,constantly_attend_lectures_on_time,avoid_engaging _risky_behavior,family_status_stable_supportive_in _academic_pursuits,parent_guardian_encourages_academic_pursuit,no_significant_family_issues_interfere_academic_pursuit,strong_sense_belonging_university_community,University_provide_adequate_support_academic_pursuit,feel_safe_comfortable_in_school_environment,What_ your_current_CGPA
Female,0,1,0,0,0,300L,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Not at All,Strongly Agree,Not More Frequently,Very Stable,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,3.5 to 4.49
Female,0,1,0,0,0,200L,Neutral,Agree,Strongly Agree,Neural,Agree,Agree,Neutral,Strongly Agree,More Frequently,Very Stable,Strongly Agree,Strongly Agree,Little Sense of Belonging,No Support,Disagree,3.5 to 4.49
Female,0,1,0,0,0,200L,Strongly Agree,Strongly Agree,Strongly Agree,Neural,Disagree,Agree,Not Frequently,Strongly Agree,Not More Frequently,Stable,Strongly Agree,Strongly Agree,Neutral,Strong Support,Neutral,3.5 to 4.49
Female,0,1,0,0,0,200L,Neutral,Neural,Strongly Agree,Agree,Neutral,Strongly Agree,Not at All,Strongly Agree,More Frequently,Very Stable,Strongly Agree,Neutral,Little Sense of Belonging,Neutral,Agree,3.5 to 4.49
Female,0,1,0,0,0,400L,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,More Frequently,Very Stable,Strongly Agree,Agree,Little Sense of Belonging,Litle Support,Strongly Disagree,2.5 to 3.49
Female,0,0,0,1,0,200L,Agree,Neural,Neutral,Neural,Agree,Neutral,Most Frequently,Strongly Agree,More Frequently,Neutral,Neutral,Disagree,Little Sense of Belonging,Neutral,Agree,4.5 and above
Female,0,0,0,0,0,200L,Agree,Sreongly Agree,Sreongly Agree,Strongly Agree,Neutral,Agree,Most Frequently,Agree,More Frequently,Very Stable,Strongly Agree,Strongly Agree,Strong Sense of Belonging,Strong Support,Strongly Agree,4.5 and above
Female,0,1,0,0,0,200L,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Not at All,Agree,Not Frequently,Very Stable,Agree,Agree,Strong Sense of Belonging,Strong Support,Agree,2.0 to 2.49
Female,0,0,1,0,0,300L,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Agree,More Frequently,Stable,Strongly Disagree,Strongly Disagree,Strong Sense of Belonging,Neutral,Strongly Agree,2.0 to 2.49
Male,0,0,1,0,0,300L,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Not Frequently,Agree,Neutral,Not Very Stable,Agree,Agree,Strong Sense of Belonging,Litle Support,Agree,3.5 to 4.49
Female,0,0,1,0,0,300L,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Not at All,Agree,Frequently,Stable,Strongly Agree,Agree,Strong Sense of Belonging,Strong Support,Agree,3.5 to 4.49
Female,0,1,0,0,0,300L,Agree,Agree,Agree,Agree,Agree,Disagree,Not Frequently,Agree,Frequently,Stable,Agree,Agree,Little Sense of Belonging,Strong Support,Agree,2.0 to 2.49
Female,0,1,0,0,0,300L,Agree,Neural,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,More Frequently,Neutral,Agree,Agree,Strong Sense of Belonging,Litle Support,Agree,3.5 to 4.49
Female,0,0,1,0,0,300L,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Not Frequently,Strongly Disagree,Not Frequently,Very Stable,Agree,Agree,Strong Sense of Belonging,Strong Support,Agree,3.5 to 4.49
Male,0,1,0,0,0,300L,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Not at All,Strongly Agree,Neutral,Stable,Strongly Agree,Agree,Strong Sense of Belonging,Litle Support,Agree,4.5 and above
Male,0,0,1,0,0,300L,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Not at All,Strongly Disagree,More Frequently,Very Stable,Strongly Disagree,Strongly Disagree,Strong Sense of Belonging,Strong Support,Strongly Disagree,3.5 to 4.49
